Deal ID,Contract number,Contract date,Contract expiration date,Duration of the agreement (in years),Comment on contract
1099,,,,50,
1101,,,,50,
1103,,,,50,
1113,,2003,,99,20-year management contract signed with Sucrerie de Complant du Benin (SUCOBE)
1141,,2006,,99,"In 2006, the company signed a new 99-year long-term contract with the Cameroonian St"
1151,,,2060,55,"The 2019 SOCFINAF annual report states a 55 year lease from 2005.
The contract  was signed by government in 2000 with SOCAPALM."
1159,,2013-11,,99,they had 2 contracts emphyteutic lease (99-year lease) contract and 3-year provisional concession in the Presidential decrees of Dec 2013
1160,,,,25,
1165,,2013,2038,25,"Eco-Oil Energie SA Malaysia received a 25-year concession over 50,000 hectares. Renewable contract."
1166,Décret n° 2011-552 du 17 août 2011,2011-08-17,,25,"Company states a total of 60 year lease-- 30 years, with additional 30 years renewable. The contract signed in December 2010 granted rights over 30 year period, this was reduced to 25 years renewable lease by a presidential decree in August 2011."
1167,,2013,2043,30,
1172,,2008-07,,25,
1173,,2003,,30,Another data resource claims the land was acquired in 2007.
1184,,,,20,
1189,,,,45,
1193,,,,40,
1194,,,,99,
1196,,2007,2057,50,
1198,,,,50,
1201,,,,50,
1205,,2010-10-25,,50,
1208,,,,50,
1215,,,,45,
1218,,2010-10-01,2035-09-30,25,Contract expires on 31:09:2035
1221,,2010-04-05,2035-04-01,25,
1230,,,,70,
1242,,2012-01-09,2037-01-09,25,
1244,,2010-09-29,,50,
1252,,,,50,
1274,,2012-08-24,,25,
1278,,2007-12-18,,,
1285,,,,30,
1302,,2010-08-01,,25,
1303,,2010-04-20,,50,Another source states duration is 25 years.
1304,,2010-03-01,,50,
1305,,,,20,
1306,,2010-11-25,,40,
1320,,,,50,
1321,,,,,Leased from the government.
1322,,2011-11-04,,50,
1323,,2008-01-01,,50,
1324,,2009,,50,
1334,,,,50,
1337,,,,50,
1346,,1976-09-23,2026-09-22,50,"Lease was signed on December 12, 1983 valid for 50 years starting from 23 September 1976 to 22 September 2026."
1356,,2018,,25,
1358,,2010-09-16,,99,
1359,,,,99,99 year lease for 8015ha with option to extend to 98400ha.
1361,,,,20,
1363,,,,45,
1374,,,,25,Duration of agreement from when contract first signed in 2003. It is not clear if the duration has been extended with the new lease transferred in 2019.
1376,,,,99,
1388,,2009-07-23,2072-07-29,63,"Another data source states 26:06:2009. Renewable for a further 30 years. The company, government and community are to review the agreement every 5 years.In 2009, the Liberian government granted a 63-year concession to the Malaysian Company, with a total land area of 311,187 hectares in the counties of Bomi, Cape Mount and Gbarpolu in Western Liberia and Bong in Central Liberia.  220,000 hectares of the amount is stipulated for the planting of oil palm."
1391,,2008-03-31,,33,
1392,FMC-001,2008-10-06,2033-10-05,25,The contract was signed 6 October 2008 and approved 27-05-2009. Another source states contract expires 2024/05/26.
1393,,2008-08-06,2057,40,
1395,,2008-05-22,2057,50,
1396,,2010-07-01,,65,"The contract is for 65 years until 2075, with an opportunity to extend the contract for a further 33 years until 2108."
1412,,,,10,
1414,,,,50,
1419,,,,30,
1454,,,,30,
1460,,,,5,
1467,,,,50,
1474,,,,50,
1478,,,,30,
1481,,2006-11-13,,,
1488,,,,5,
1498,,,,50,
1499,,,,,Decree No. 07-141
1508,,2007,2047,40,
1518,,,,30,
1545,,2011,,49,
1570,,,,50,
1572,,,,50,
1586,,,,50,
1652,,,,50,
1669,,2008-12-17,,25,
1683,,2005,,25,The land was acquired on the basis of a renewable 25-year lease
1687,356,2010-03-01,,99,"This was signed by the State Governor Engr. Olusegun Oni and registered as No 12 at page 12 in volume 68 in the Land Registry Office at Ado Ekiti. Statutory Statutory Right Occupancy signed 1st day of March, 2010. certificate of occupancy (ELDM/356) dated 8th April 2010."
1713,,,,50,
1715,,,,49,
1721,,,,40,
1732,,,,50,
1738,,,,70,
1755,,,,32,
1756,,,,30,
1760,,,,32,
1766,,,,99,
1782,,,,12,
1794,,,,10,
1798,,2010-04-09,,50,"The land lease contract of Sunbird Bioenergy Sierra Leone needs to be renegotiated every seven years as required by the laws of Sierra Leone in Section 5 of the Provinces Land Act, Cap 122.
Addax Bioenergy in Sierra Leone (ABSL) concluded three land lease agreements for 50 years with the chiefdom councils of Bombali Sebora, Makari Gbanti and Malal Mara in April 2010 and received a concession of 58,000 acres of land"
1806,ML01/2017,2017-03-29,2042-03-28,25,"Previously ML02/09 held by London Mining.
 It shall then be renewable for further periods of fifteen (15) years upon an application made in writing by SL MINING to the Minister at least one year before the expiration of the original term, and each 15 year term, as applicable in accordance with Section 112 of the Minerals Act."
1812,,2009,2059,50,
1846,,,,99,
1851,,,,99,"Idete (Farm 900+901) issued 17 April 2009
Chogo (Farm 854) and Mapanda (Farm 837) issued 8 March 2004
Title deeds for the other areas are expected in financial year 2019/20"
1872,,2008-07-01,,99,
1889,,,,99,
1910,,,,10,
1963,,,,99,
1976,,,,99,
1978,,,,30,
1984,,,,3,
1992,,,,25,
1999,,,,25,
2006,,,,25,
2009,,,,20,
2010,,,,20,
2017,,,,99,
2033,,,,99,
2047,,,,35,
2050,,,,99,
2053,,,,99,
2198,,,,30,Another article states 50 years.
2199,,,,55,
2237,,2008-06-09,,25,Renewable for another 25 years
2241,,,,50,In 2 periods of 25 years
2249,,,,20,
2271,,,,50,
2283,,,,25,
2293,,,,30,
2309,,2010,,99,
2363,,,,99,
2371,,2011-03-01,,50,Four concessions: 2011/2012/2013/2014. The initial lease is renewable for a term of 25 years
2385,,2009-08,,25,authorized for a period of 25 (twenty-five) years renewable for equal periods 200of 10 (ten) years under conditions to be set at each renewal period.
2398,,2005-10-01,,99,
2401,,,,99,
3008,,2003-04,2033-04,30,
3020,,,,50,
3022,,,,50,ProCana was looking at a 50 year lease. MAI had a 50 year DUATs.
3029,,,,49,
3030,,,,5,
3041,,,,50,
3100,,1986-12-18,2085-12-17,99,Main estate
3100,,1993-11-08,2062-11-07,69,Extension 1 for oil palm
3100,,1999-12-07,2098-12-06,99,Extension 1 for rubber
3124,,,,99,
3156,,,,50,
3164,,,,99,
3175,,,,25,
3200,,,,3,
3214,,2009,2034,25,Isangi Logging Concessions No. 091 and No. 034. Also known as 007/11 and 008/11.
3341,,,,50,
3342,,,,50,
3353,23,,,,"Special Mining Lease No 23 measuring 1,661 hectares is located within the Kwale Prospecting License PL/2018/0119"
3389,,2008,,50,Additional concessions signed in 2010 and 2012. The lease is renewable.
3391,,,,99,
3398,,,,50,Two concessions with two different chiefs.
3399,,,,50,
3403,,,,50,
3404,,2009-05-18,,,"Date of allocation by the Ghana Forestry Commission for the first section of 5,002ha"
3404,,2012-11-21,,,"Allocation date of Forestry Commission for second concession of 1,536ha"
3424,,2011-12-29,,50,2x21 years plus 7 years.
3425,,2011-09-30,,25,
3429,No.30/2010,2010-09-27,,50,a 50-year lease (with an option to renew for a further 21 years)
3433,,,,50,
3447,,2009-01,,25,PPA and concession agreement signed between BRP and GoL in January 2009
3448,FMC-0003,2008-10-06,2033-10-05,25,
3449,FMC-002,2008-10-06,2033-10-05,25,Another source claims the contract date was 2009-05-27
3450,FMC-005,2009-09-17,2034-09-16,25,Also known as Forest Management Contract-K
3451,FMC-007,2009-09-17,2034-09-16,25,
3452,FMC-006,2009-09-17,2034-09-16,25,
3458,,1959-08-01,2029-07-31,70,
3460,,1959,1929,70,The Liberian Agricultural Company was established by Uniroyal in 1959 and it has a ratified Concession Agreement ceded to her by the Government of Liberia up to 2029;
3463,,2011,2036,25,"The Maryland Oil Palm Plantation is a 25-year concession agreement that was renegotiated out of the former Decoris Oil Plantation for the rehabilitation and development of an oil palm plantation and oil processing plant (20,000 acres/8,800 hectares) in Gedetabo, Maryland County."
