Deal ID,Spatial accuracy level,Location,Point,Facility name,Location description,Comment on location
1089,Coordinates,"Caala, Angola","-12.56333,15.37093",,,
1094,Administrative region,"Cuanza Norte Province, Angola","-9.23985,14.65878",,,Province of Kwanza Norte
1098,Administrative region,"Cacuso, Angola","-9.41667,15.75",,,"located at the Capanda Agro-Industrial Complex, in Cacuso, Malanje province"
1099,Administrative region,"Uige, Angola","-7.17367,15.40681",,,
1101,Administrative region,"Bengo, Angola","-9.10423,13.72892",,,"Atlantic coast of Bengo province, near the city of Ambriz"
1103,Administrative region,"Cunene, Angola","-16.28022,16.15809",,,Southern province of Cunene
1107,Administrative region,"Zogbodomey, Benin","7.04477,2.18433",,,dans les communes de Zogbodomey et de Zè
1107,Administrative region,"Zè, Benin","6.70104,2.34189",,,
1113,Coordinates,Savè,"8.06265,2.37945",,,
1117,Administrative region,"ZAKPO, Bohicon, Benin","7.19144,2.06159",,,Zakpota
1118,Administrative region,"Zogbodomey, Benin","7.04477,2.18433",,,Zogbodomey
1123,Administrative region,"Leo, Burkina Faso","11.09447,-2.09818",,,"Leo, Sissili province, Burkina Faso"
1126,Administrative region,"Nzi-Comoe, Côte d'Ivoire","7.24567,-4.23334",,,
1126,Administrative region,"San-Pedro, Côte d'Ivoire","4.75139,-6.63861",,,Location of  Olam Cocoa Processing (OCP) facility
1129,Administrative region,"Toumodi, Côte d'Ivoire","6.55231,-5.01937",,,
1130,Exact location,"EHANIA, Côte d'Ivoire","5.28195,-3.03759",,,
1130,Exact location,"Toumanguié, Côte d'Ivoire","5.34965,-3.3426",,,
1130,Exact location,"Lagune Irobo, Côte d'Ivoire","5.35326,-4.79284",,,
1130,Administrative region,"Néka, Côte d'Ivoire","5.1,-7.25",,,
1130,Exact location,"Boubo, Côte d'Ivoire","5.31752,-4.3361",,,
1130,Exact location,"IBOKE, Côte d'Ivoire","4.68071,-7.4138",,,
1130,Administrative region,"GBAPET, Côte d'Ivoire","4.95984,-7.51931",,,
1130,Administrative region,"Blidouba, Côte d'Ivoire","7.58333,-7.41667",,,
1131,Administrative region,"Dimbokro, Côte d'Ivoire","6.64446,-4.7054",,,Taobo et Dimbokro
1131,Administrative region,"Taabo, Côte d'Ivoire","6.23333,-5.13333",,,
1132,Administrative region,"Nielle, Côte d'Ivoire","7.53999,-5.54708",,,"Tongon, located within the Nielle exploration permit in the north of Côte d’lvoire, 55 kilometres south of the border with Mali"
1140,Administrative region,"Nanga-Eboko, Cameroon","4.66273,12.37078",,,"120ha+2,000ha (intended)"
1140,Administrative region,"Ndjoré, Cameroon","4.40156,11.816",,,"4,000ha (intended)"
1140,Administrative region,"Santchou, Cameroon","5.28333,9.98333",,,4000ha (intended)
1141,Coordinates,"Nkoteng, Cameroon","4.43657,12.06334",,,"Haute-Sanaga Region- Simbane village,  in the district of Lembe-Yezoum at a place called Messassa, Mvan Village, Ouassa village, Ebometende village and Elap Village."
1141,Coordinates,"M'Bandjock, Cameroon","4.433,11.98416",,,Haute-Sanaga Region- the Biboto and Ndo village.
1148,Administrative region,"Ndop, Cameroon","5.98012,10.36102",,,"Ndop Plain, Bamunka"
1149,Exact location,"Dizangué, Cameroon","3.77967,9.97725",,,
1151,Exact location,"Bidjoka, Cameroon","3.69255,10.60672",,,Mbambou as an additional location
1151,Exact location,"Eseka, Cameroon","3.62403,10.68595",,,Edea as additional location
1151,Exact location,"Kribi, Cameroon","2.934,9.98029",,,
1151,Exact location,"Bidjoka, Cameroon","3.71004,10.58784",,,
1151,Exact location,"Eseka, Cameroon","3.58659,10.68595",,,
1156,Exact location,"Malinkam, Cameroon","4.61626,9.63684",,"The Njombe Penja in the Moungou Division, Littoral of Cameroon is home to a lot of fertile lands since the 16thcentury because of its fertile soils.","The company has divided its land holdings in four plantations: Sud, Est, Nord and Ouest. PHP Nord is situated north of Loum"
1157,Administrative region,"Littoral Region, Cameroon","4.16821,10.08073",,,South West as an additional location
1157,Administrative region,"Fako, Cameroon","4.09725,9.27856",,,
1158,Administrative region,"Baï, Cameroon","8.01667,14.43333",,,
1158,Administrative region,"Ndian, Cameroon","4.83343,9.01289",,,
1158,Administrative region,"Loe, Cameroon","4.71667,8.91667",,,
1158,Administrative region,"Kita, Cameroon","4.65,8.98333",,,
1159,Administrative region,"Ndian, Cameroon","4.83343,9.01289",,,"NDIAN , Mundemba (5,384ha) and Toko (1,264ha) regions"
1159,Administrative region,"Nguti, Cameroon","5.33718,9.41727",,,"13,195ha"
1160,Administrative region,"Mengo, Congo","-1.98547,15.00461",,,"The area covered by the Mengo Mining Permit is located about 15 km northeast of the Atlantic port city of Pointe-Noire, Republic of Congo (ROC)."
1165,Administrative region,"Etoumbi, Congo","-0.01942,14.84862",,,Sangha plantation in Cuvette-Ouest district-- 100ha
1165,Administrative region,"Owando, Congo","-0.52307,15.92189",,,RNPC land in the Cuvette district- 500ha
1165,Administrative region,"Kandeko, Congo","0.66419,16.06673",,,District Mokéko
1165,Administrative region,"Rue MAKOLA, Brazzaville, Congo","-4.27044,15.24326",,,District Mokeko
