id,name,type,spatial_accuracy,deal_id,country,region,geometry
1,"Daru, Sierra Leone",point,COORDINATES,1817,Sierra Leone,Africa,"c(-10.84824, 7.96904)"
2,"Kenema, Sierra Leone",point,EXACT_LOCATION,1817,Sierra Leone,Africa,"c(-10.919, 7.86958)"
3,"Malema, Sierra Leone",point,APPROXIMATE_LOCATION,1817,Sierra Leone,Africa,"c(-10.81492, 8.17259)"
1,"Britannia, Mauritius",point,APPROXIMATE_LOCATION,2290,Mauritius,Africa,"c(57.56177, -20.45038)"
2,"Benares, Mauritius",point,APPROXIMATE_LOCATION,2290,Mauritius,Africa,"c(57.58938, -20.48445)"
3,"Mon Desert, Mauritius",point,APPROXIMATE_LOCATION,2290,Mauritius,Africa,"c(57.67541, -20.45232)"
4,"Plaines Wilhems District, Mauritius",point,APPROXIMATE_LOCATION,2290,Mauritius,Africa,"c(57.48536, -20.30549)"
1,"Lastoursville, Gabon",point,COORDINATES,5032,Gabon,Africa,"c(12.78955, -0.13501)"
2,"Lassio River, Gabon",point,COORDINATES,5032,Gabon,Africa,"c(13.13081, -0.50116)"
3,"Ngounie, Gabon",point,COORDINATES,5032,Gabon,Africa,"c(10.53575, -0.92118)"
4,"Ngounie, Gabon",point,COORDINATES,5032,Gabon,Africa,"c(12.01002, -1.88082)"
5,"Ngounie, Gabon",point,COORDINATES,5032,Gabon,Africa,"c(12.23589, -2.2686)"
6,"Ngounie, Gabon",point,COORDINATES,5032,Gabon,Africa,"c(10.64459, -2.11594)"
1,"Yeji, Ghana",point,EXACT_LOCATION,1334,Ghana,Africa,"c(-0.72245, 8.16652)"
2,"Prang, Ghana",point,APPROXIMATE_LOCATION,1334,Ghana,Africa,"c(-1.09377, 8.02611)"
3,"Kumfia, Ghana",point,APPROXIMATE_LOCATION,1334,Ghana,Africa,"c(-1.39523, 7.78137)"
4,"Ahyiayemu, Ghana",point,APPROXIMATE_LOCATION,1334,Ghana,Africa,"c(-1.48883, 7.60052)"
1,"Juja, Kenya",point,APPROXIMATE_LOCATION,1384,Kenya,Africa,"c(37.0144, -1.10182)"
2,"Naivasha, Kenya",point,APPROXIMATE_LOCATION,1384,Kenya,Africa,"c(36.43103, -0.71718)"
3,"Molo, Kenya",point,APPROXIMATE_LOCATION,1384,Kenya,Africa,"c(35.73237, -0.24884)"
4,"Mount Kenya, Kenya",point,APPROXIMATE_LOCATION,1384,Kenya,Africa,"c(37.30841, -0.15214)"
1,"EHANIA, Côte d'Ivoire",point,EXACT_LOCATION,1130,Côte d'Ivoire,Africa,"c(-3.03759, 5.28195)"
2,"Toumanguié, Côte d'Ivoire",point,EXACT_LOCATION,1130,Côte d'Ivoire,Africa,"c(-3.3426, 5.34965)"
3,"Lagune Irobo, Côte d'Ivoire",point,EXACT_LOCATION,1130,Côte d'Ivoire,Africa,"c(-4.79284, 5.35326)"
5,"Boubo, Côte d'Ivoire",point,EXACT_LOCATION,1130,Côte d'Ivoire,Africa,"c(-4.3361, 5.31752)"
6,"IBOKE, Côte d'Ivoire",point,EXACT_LOCATION,1130,Côte d'Ivoire,Africa,"c(-7.4138, 4.68071)"
1,"Bidjoka, Cameroon",point,EXACT_LOCATION,1151,Cameroon,Africa,"c(10.60672, 3.69255)"
2,"Eseka, Cameroon",point,EXACT_LOCATION,1151,Cameroon,Africa,"c(10.68595, 3.62403)"
3,"Kribi, Cameroon",point,EXACT_LOCATION,1151,Cameroon,Africa,"c(9.98029, 2.934)"
4,"Bidjoka, Cameroon",point,EXACT_LOCATION,1151,Cameroon,Africa,"c(10.58784, 3.71004)"
5,"Eseka, Cameroon",point,EXACT_LOCATION,1151,Cameroon,Africa,"c(10.68595, 3.58659)"
1,"Butaw, Liberia",point,EXACT_LOCATION,1396,Liberia,Africa,"c(-9.07923, 5.14092)"
2,"Garraway, Liberia",point,EXACT_LOCATION,1396,Liberia,Africa,"c(-7.90834, 4.5596)"
1,"Epoma, Republic of the Congo",point,EXACT_LOCATION,1166,"Congo, Rep.",Africa,"c(15.39968, 0.42362)"
2,"Owando, Republic of the Congo",point,EXACT_LOCATION,1166,"Congo, Rep.",Africa,"c(16.0667, -0.32955)"
1,"sogb Côte d'Ivoire, Côte d'Ivoire",point,EXACT_LOCATION,3746,Côte d'Ivoire,Africa,"c(-7.08993, 4.6833)"
2,"sogb Côte d'Ivoire, Côte d'Ivoire",point,EXACT_LOCATION,3746,Côte d'Ivoire,Africa,"c(-7.13105, 4.67005)"
1,"Gandon, Senegal",point,EXACT_LOCATION,1795,Senegal,Africa,"c(-16.351, 15.97173)"
2,"Sanar, Senegal",point,EXACT_LOCATION,1795,Senegal,Africa,"c(-16.41719, 16.18606)"
3,"Sanar, Senegal",point,APPROXIMATE_LOCATION,1795,Senegal,Africa,"c(-16.46637, 16.05983)"
1,"Akuse, Ghana",point,COORDINATES,3765,Ghana,Africa,"c(0.23726, 6.04975)"
2,"Nsawam, Ghana",point,COORDINATES,3765,Ghana,Africa,"c(-0.45568, 5.70344)"
1,"Prestea, Ghana",point,COORDINATES,3773,Ghana,Africa,"c(-1.89026, 4.94143)"
2,"Prestea, Ghana",point,COORDINATES,3773,Ghana,Africa,"c(-1.91198, 4.85307)"
1,"Orhionmwon, Nigeria",point,COORDINATES,4521,Nigeria,Africa,"c(5.99836, 5.81267)"
1,"Brenkente, Ghana",point,COORDINATES,3398,Ghana,Africa,"c(-0.62836, 8.18414)"
2,"Chirepo, Ghana",point,COORDINATES,3398,Ghana,Africa,"c(-0.54988, 8.06013)"
1,"Awura, Ghana",point,COORDINATES,3404,Ghana,Africa,"c(-1.32337, 7.2295)"
2,"Chirimfa, Ghana",point,COORDINATES,3404,Ghana,Africa,"c(-1.23306, 7.06667)"
3,"Agogo, Ghana",point,COORDINATES,3404,Ghana,Africa,"c(-1.12237, 6.86926)"
